"","Var1","Freq","violation_level"
"1","Aggravated Assault",7807,"medium"
"2","Aircraft",36,"noviolation"
"3","Arson",94,"noviolation"
"4","Assembly or Gathering Violations",955,"low"
"5","Auto Theft Recovery",1051,"low"
"6","Auto Theft",4851,"medium"
"7","Ballistics",981,"low"
"8","Biological Threat",2,"noviolation"
"9","Bomb Hoax",75,"noviolation"
"10","Burglary - No Property Taken",2,"noviolation"
"11","Commercial Burglary",1337,"low"
"12","Confidence Games",3147,"medium"
"13","Counterfeiting",1454,"low"
"14","Criminal Harassment",131,"noviolation"
"15","Disorderly Conduct",2611,"medium"
"16","Drug Violation",16548,"strong"
"17","Embezzlement",296,"noviolation"
"18","Evading Fare",407,"noviolation"
"19","Explosives",27,"noviolation"
"20","Fire Related Reports",1920,"low"
"21","Firearm Discovery",698,"low"
"22","Firearm Violations",1777,"low"
"23","Fraud",5829,"medium"
"24","Gambling",8,"noviolation"
"25","Harassment",4007,"medium"
"26","Harbor Related Incidents",212,"noviolation"
"27","HOME INVASION",77,"noviolation"
"28","Homicide",161,"noviolation"
"29","HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE",2,"noviolation"
"30","HUMAN TRAFFICKING",7,"noviolation"
"31","Investigate Person",18750,"strong"
"32","INVESTIGATE PERSON",4,"noviolation"
"33","Investigate Property",11124,"strong"
"34","Landlord/Tenant Disputes",968,"low"
"35","Larceny From Motor Vehicle",10847,"strong"
"36","Larceny",25935,"strong"
"37","License Plate Related Incidents",560,"low"
"38","License Violation",1701,"low"
"39","Liquor Violation",1052,"low"
"40","Manslaughter",8,"noviolation"
"41","Medical Assistance",23540,"strong"
"42","Missing Person Located",4958,"medium"
"43","Missing Person Reported",3797,"medium"
"44","Motor Vehicle Accident Response",37132,"strong"
"45","Offenses Against Child / Family",545,"low"
"46","Operating Under the Influence",574,"low"
"47","Other Burglary",461,"noviolation"
"48","Other",18075,"strong"
"49","Phone Call Complaints",31,"noviolation"
"50","Police Service Incidents",2781,"medium"
"51","Prisoner Related Incidents",253,"noviolation"
"52","Property Found",3925,"medium"
"53","Property Lost",9751,"medium"
"54","Property Related Damage",912,"low"
"55","Prostitution",207,"noviolation"
"56","Recovered Stolen Property",1455,"low"
"57","Residential Burglary",5606,"medium"
"58","Restraining Order Violations",1607,"low"
"59","Robbery",4624,"medium"
"60","Search Warrants",966,"low"
"61","Service",285,"noviolation"
"62","Simple Assault",15826,"strong"
"63","Towed",11287,"strong"
"64","Vandalism",15415,"strong"
"65","Verbal Disputes",13099,"strong"
"66","Violations",6095,"medium"
"67","Warrant Arrests",8407,"medium"
